seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
254,44829365120,44829517720,152600,20080,3280,3600,13520,22840,26440,28400,64160,-3280,ok
255,44829618720,44829772640,153920,19880,3360,3680,13320,23680,27360,28800,64560,-3360,ok
256,44829873480,44830026960,153480,20200,3280,3600,13320,23520,27120,28520,64320,-3280,ok
257,44830127800,44830279600,151800,20040,3360,3600,13360,22480,26080,28240,64040,-3320,ok
258,44830380400,44830532480,152080,20080,3280,3600,13360,22640,26240,28640,63760,-3280,ok
259,44830668120,44830825280,157160,21120,3480,3720,13640,24840,28560,28760,65040,-3440,ok
260,44830926400,44831081160,154760,20480,3440,3720,13080,23800,27520,28680,65000,-3440,ok
261,44831182120,44831334600,152480,20040,3520,3800,13280,22480,26280,28320,64560,-3520,ok
262,44831436040,44831588160,152120,19960,3440,3760,13600,22200,25960,28200,64400,-3440,ok
263,44831689440,44831844000,154560,19920,3520,3840,13560,23640,27480,28720,64880,-3520,ok
264,44831944600,44832212560,267960,20200,3400,3720,13160,25360,29080,96400,109120,-3400,ok
265,44832321040,44832485160,164120,21800,3680,4000,13360,29000,33000,28960,67000,-3680,ok
266,44832587200,44832740040,152840,19840,3440,3760,13280,22000,25760,28520,65440,-3440,ok
267,44832841680,44832996400,154720,19800,3480,3720,13400,24200,27920,28240,65320,-3440,ok
268,44833099280,44833252760,153480,19920,3440,3720,13160,23160,26880,28440,65080,-3440,ok
269,44833354680,44833507040,152360,20000,3480,3760,13480,22320,26080,27960,64800,-3440,ok
270,44833644480,44833802520,158040,21720,3440,3720,13840,24080,27800,27760,66880,-3400,ok
271,44833904960,44834058480,153520,20040,3600,3720,13200,23360,27080,28280,64760,-3440,ok
272,44834160200,44834312640,152440,20200,3440,3720,13440,22360,26080,28320,64400,-3440,ok
273,44834414560,44834567040,152480,19960,3600,3720,13360,22520,26240,28320,64440,-3440,ok
274,44834668240,44834820680,152440,19960,3480,3760,13760,22240,26000,28320,64360,-3440,ok
275,44834922040,44835076480,154440,19960,3600,3720,13800,23000,26720,28760,65000,-3400,ok
276,44835178360,44835331560,153200,20200,3440,3760,13560,23040,26800,28160,64480,-3440,ok
277,44835432840,44835584960,152120,19880,3680,3800,13280,22480,26280,28000,64520,-3520,ok
278,44835686000,44835837920,151920,19920,3440,3760,13800,22040,25800,28080,64360,-3480,ok
279,44835938600,44836139760,201160,19880,3600,3720,13320,23560,27280,70680,69800,-3400,ok
280,44836244360,44836399480,155120,20240,3520,3800,13280,24320,28120,28640,64840,-3520,ok
281,44836569400,44836729720,160320,23160,3600,3680,13560,24720,28400,28880,66120,-3400,ok
282,44836833440,44836988640,155200,20040,3440,3560,13400,22840,26400,28320,66840,-3240,ok
283,44837088640,44837241640,153000,20000,3360,3640,13280,23040,26680,28160,64880,-3360,ok
284,44837341760,44837503040,161280,20000,3440,3560,13200,22360,25920,37240,64760,-3280,ok
285,44837603720,44837755680,151960,20080,3480,3760,13480,22080,25840,28400,64160,-3480,ok
286,44837855320,44838009080,153760,19960,3600,3760,13160,21800,25560,28400,66520,-3440,ok
287,44838109280,44838262480,153200,20480,3440,3760,13640,22800,26560,28080,64440,-3440,ok
288,44838362600,44838515120,152520,20160,3640,3800,13160,22280,26080,28160,64840,-3520,ok
289,44838615200,44838767560,152360,20040,3440,3760,13080,22720,26480,28120,64640,-3440,ok
290,44838867240,44839020080,152840,20120,3600,3720,13080,22760,26480,28120,64840,-3400,ok
291,44839120200,44839273960,153760,20040,3520,3840,13480,23240,27080,28520,64640,-3520,ok
292,44839374480,44839527920,153440,20160,3600,3720,13000,23200,26920,28120,65040,-3400,ok
293,44839661040,44839816120,155080,21360,3400,3720,13160,24000,27720,28400,64440,-3400,ok
294,44839919120,44840124640,205520,19800,3680,3800,13480,21520,25320,72680,74040,-3480,ok
295,44840228240,44840384600,156360,20680,3280,3560,13120,24680,28240,28760,65560,-3280,ok
296,44840485160,44840639000,153840,20360,3440,3600,13320,23040,26640,28480,64880,-3280,ok
297,44840740080,44840892920,152840,20080,3280,3600,13680,21720,25320,28240,65520,-3280,ok
298,44840992920,44841147880,154960,20000,3440,3600,13000,22760,26360,28280,67160,-3280,ok
299,44841248720,44841402440,153720,20360,3280,3560,13760,22600,26160,28520,64920,-3280,ok
300,44841503120,44841656640,153520,20000,3480,3600,13320,22840,26440,28440,65120,-3280,ok
301,44841757880,44841910600,152720,20040,3280,3560,13080,22600,26160,28320,65120,-3280,ok
302,44842011000,44842163800,152800,19880,3520,3600,12720,22880,26480,28520,65040,-3360,ok
